Model,MSE,RMSE,MAE,Error Percentage
Linear Regression,2567.52150440112,50.670716438601104,43.736599625252396,1.5132986094009184
Random Forest,1265.2548381961399,35.570420832429576,25.823706054687467,0.8935074696473068
k-Nearest Neighbors,11524.309996857564,96.52156271506571,76.43392075047346,2.6446350876342044
Artificial Neural Network,8340660.140735987,2888.020107398144,2885.5955000357194,99.84241333147311
LSTM,83496.02481657267,288.956787109375,288.956787109375,11.080906259154572
